Gene	Safety_Score (0-28)	Safety_Profile_Assessment	Tissue_with_Safety_Concern
SLC44A3	16	not good	many tissues
IGSF3	19	not good	many tissues
KCNA10	28	very good	many tissues
C1orf162	0	not good	many tissues
CD53	1	not good	many tissues
CELSR2	13	not good	many tissues
ITGA10	15	not good	many tissues
GPR161	20	not good	many tissues
ATP1B1	1	not good	many tissues
GPA33	27	very good	Small_Intestine
PVRL4	23	good	Bladder:Breast:Prostate:Salivary_Gland:Skin:Vagina
FCGR2A	3	not good	many tissues
FCRL5	24	good	Blood:Salivary_Gland:Small_Intestine:Spleen
XPR1	7	not good	many tissues
HMCN1	21	good	Adipose_Tissue:Blood_Vessel:Breast:Esophagus:Heart:Lung:Salivary_Gland
CGN	15	not good	many tissues
PIP5K1A	0	not good	many tissues
SEMA6C	4	not good	many tissues
KCNH1	28	very good	many tissues
SUSD4	17	not good	many tissues
ATP8B2	2	not good	many tissues
ADAM15	0	not good	many tissues
RAB13	0	not good	many tissues
SLC39A1	0	not good	many tissues
EFNA3	24	good	Brain:Pituitary:Skin:Vagina
AQP10	28	very good	many tissues
HCN3	15	not good	many tissues
ARF1	0	not good	many tissues
PSEN2	1	not good	many tissues
RHOB	0	not good	many tissues
ABCG8	27	very good	Liver
SLC20A1	0	not good	many tissues
THSD7B	28	very good	many tissues
GPR17	17	not good	many tissues
PKP4	0	not good	many tissues
SCN1A	27	very good	Brain
SLC4A10	27	very good	Brain
TMEFF2	27	very good	Brain:Prostate
FAM171B	26	very good	Brain:Pituitary
PTH2R	27	very good	Kidney
CPO	27	very good	Small_Intestine
ABCA12	27	very good	Skin
ACKR3	2	not good	many tissues
TRPM8	27	very good	Liver:Prostate
CNTN4	23	good	Blood_Vessel:Cervix_Uteri:Nerve:Pituitary:Thyroid
ACKR2	26	very good	Liver:Nerve
ITGA9	15	not good	many tissues
SLC22A14	28	very good	many tissues
PTPRG	6	not good	many tissues
IL17RD	24	good	Cervix_Uteri:Fallopian_Tube:Ovary:Uterus
LRIG1	2	not good	many tissues
LRTM1	27	very good	Spleen
ADGRG7	26	very good	Liver:Small_Intestine
IGSF11	24	good	Adrenal_Gland:Brain:Nerve:Ovary
BOC	2	not good	many tissues
TMEM108	23	good	Adrenal_Gland:Bladder:Brain:Lung:Muscle
AGTR1	12	not good	many tissues
LPP	2	not good	many tissues
ILDR1	28	very good	many tissues
MUC4	24	good	Fallopian_Tube:Prostate:Salivary_Gland:Small_Intestine:Vagina
SLC26A1	25	very good	Adrenal_Gland:Kidney:Liver
EPHA5	28	very good	many tissues
CORIN	26	very good	Heart:Vagina
ATP10D	4	not good	many tissues
SLC10A4	28	very good	many tissues
SLC10A6	27	very good	Skin
SNCA	7	not good	many tissues
CAMK2D	1	not good	many tissues
ANK2	6	not good	many tissues
45352	23	good	Blood:Brain:Lung:Nerve:Spleen
PDGFC	5	not good	many tissues
GLRA3	28	very good	many tissues
CDH18	26	very good	Brain:Pituitary
MYO10	9	not good	many tissues
OSMR	2	not good	many tissues
GZMA	24	good	Blood:Lung:Small_Intestine:Spleen
LHFPL2	7	not good	many tissues
PAM	0	not good	many tissues
SLC30A5	0	not good	many tissues
MEGF10	27	very good	Brain
TIMD4	27	very good	Spleen
GABRA6	28	very good	many tissues
GABRB2	27	very good	Brain
GLRA1	28	very good	many tissues
TENM2	26	very good	Heart:Nerve
KCNMB1	17	not good	many tissues
PCDHB18P	28	very good	many tissues
LRRTM2	27	very good	Brain
GFRA3	27	very good	Nerve
SLC17A4	25	very good	Liver:Pancreas:Small_Intestine
KAAG1	28	very good	many tissues
TNFRSF21	8	not good	many tissues
SCUBE3	26	very good	Blood_Vessel:Thyroid
ANO7	25	very good	Prostate:Salivary_Gland:Small_Intestine:Stomach
TPBG	5	not good	many tissues
GABRR1	28	very good	many tissues
GPR6	28	very good	many tissues
TAAR2	28	very good	many tissues
TAAR6	28	very good	many tissues
TAAR8	28	very good	many tissues
TAAR1	28	very good	many tissues
SLC18B1	5	not good	many tissues
SLC2A12	27	very good	Prostate:Stomach
TMEM181	0	not good	many tissues
SLC22A3	8	not good	many tissues
SDK1	21	good	Bladder:Blood_Vessel:Cervix_Uteri:Colon:Lung:Pancreas:Spleen
EGFR	4	not good	many tissues
SLC12A9	1	not good	many tissues
ZAN	28	very good	many tissues
EPHA1	8	not good	many tissues
NLGN4X	26	very good	Brain:Ovary
SHROOM2	27	very good	Ovary
TMEM27	26	very good	Kidney:Liver
MSN	0	not good	many tissues
SLC16A2	8	not good	many tissues
GPR174	28	very good	many tissues
LPAR4	28	very good	many tissues
OGT	0	not good	many tissues
IL2RG	16	not good	many tissues
HTR2C	28	very good	many tissues
IGSF1	26	very good	Nerve:Pituitary
GPC3	7	not good	many tissues
GPR119	28	very good	many tissues
CHRNB3	28	very good	many tissues
CHRNA6	28	very good	many tissues
PPAPDC1B	0	not good	many tissues
LRP12	21	good	Bladder:Blood_Vessel:Brain:Fallopian_Tube:Heart:Muscle:Uterus
MAL2	14	not good	many tissues
SLC39A4	0	not good	many tissues
VLDLR	6	not good	many tissues
NTRK2	14	not good	many tissues
RP11-35N6.1	27	very good	Brain
OR13C4	28	very good	many tissues
STOM	0	not good	many tissues
CRB2	28	very good	many tissues
OR5C1	28	very good	many tissues
ASTN2	24	good	Brain:Kidney:Nerve:Pancreas:Prostate
FAM73B	0	not good	many tissues
GPR107	0	not good	many tissues
NOTCH1	3	not good	many tissues
CACNA1B	26	very good	Brain:Pituitary
FAM171A1	5	not good	many tissues
SLC39A12	27	very good	Brain
PARD3	2	not good	many tissues
CDHR1	24	good	Brain:Skin:Small_Intestine:Spleen
LRIT1	28	very good	many tissues
RGR	28	very good	many tissues
CAMK2G	0	not good	many tissues
HTR7	28	very good	many tissues
ADD3	0	not good	many tissues
NPFFR1	28	very good	many tissues
ITPRIP	3	not good	many tissues
CNNM2	25	very good	Adrenal_Gland:Blood_Vessel:Pituitary
ADAM12	27	very good	Ovary
SLC5A12	26	very good	Kidney:Small_Intestine
LIN7C	3	not good	many tissues
LRRC4C	26	very good	Brain:Nerve
SYT8	22	good	Bladder:Lung:Pancreas:Salivary_Gland:Skin:Vagina
OR5F1	28	very good	many tissues
SLC43A1	2	not good	many tissues
PTPRJ	14	not good	many tissues
TENM4	26	very good	Ovary:Pituitary
PAK1	0	not good	many tissues
NCAM1	11	not good	many tissues
DRD2	26	very good	Pituitary:Salivary_Gland
HTR3B	28	very good	many tissues
LAMTOR1	0	not good	many tissues
GRIK4	28	very good	many tissues
ST14	14	not good	many tissues
SLC22A8	27	very good	Kidney
TMC2	27	very good	Pituitary
ROM1	7	not good	many tissues
ZP1	27	very good	Pituitary
ESAM	0	not good	many tissues
KIRREL3	27	very good	Brain
MPZL2	5	not good	many tissues
SCN2B	27	very good	Brain
SIDT2	0	not good	many tissues
TMEM25	1	not good	many tissues
JPH2	17	not good	many tissues
DUSP15	19	not good	many tissues
CDH22	27	very good	Brain
SLC22A9	27	very good	Liver
TMEM219	0	not good	many tissues
CNTN5	28	very good	many tissues
KLRF1	26	very good	Blood:Spleen
CLEC1A	18	not good	many tissues
MPP7	17	not good	many tissues
ITGB1	0	not good	many tissues
OR8K1	28	very good	many tissues
OR5M9	28	very good	many tissues
PCDH15	28	very good	many tissues
FCGR1A	21	good	Adrenal_Gland:Blood:Blood_Vessel:Brain:Lung:Nerve:Spleen
CDH8	27	very good	Brain
TMCO3	0	not good	many tissues
ADGRL3	25	very good	Blood_Vessel:Brain:Nerve
LYPD1	25	very good	Brain:Fallopian_Tube:Pituitary
LYPD6B	24	good	Bladder:Pancreas:Prostate:Skin:Stomach
ADRA2A	14	not good	many tissues
GPM6A	20	not good	many tissues
CD226	28	very good	many tissues
DLG2	24	good	Adrenal_Gland:Brain:Pituitary:Skin
FREM2	28	very good	many tissues
CRIM1	1	not good	many tissues
ITPR1	4	not good	many tissues
SLC7A11	27	very good	Brain
GPR158	26	very good	Brain:Pituitary
CACNA1C	13	not good	many tissues
KCNA6	28	very good	many tissues
ANK3	3	not good	many tissues
PLBD2	0	not good	many tissues
DLG5	3	not good	many tissues
SLC2A13	26	very good	Brain:Cervix_Uteri
MAGI1	3	not good	many tissues
FER	27	very good	Nerve
PTPRO	25	very good	Brain:Kidney:Uterus
ANO4	25	very good	Adrenal_Gland:Brain:Ovary
DRD3	28	very good	many tissues
EDNRA	14	not good	many tissues
ADAM8	18	not good	many tissues
MFSD6	4	not good	many tissues
ADAM17	5	not good	many tissues
KCNJ1	27	very good	Kidney
GABRA2	27	very good	Brain
GFRA1	15	not good	many tissues
MCHR2	28	very good	many tissues
ASTN1	25	very good	Adrenal_Gland:Brain:Pituitary
CYSLTR2	27	very good	Adrenal_Gland
GRID2	28	very good	many tissues
TGOLN2	0	not good	many tissues
KCNK13	28	very good	many tissues
PLEKHH2	8	not good	many tissues
TMEM123	0	not good	many tissues
GRIA4	27	very good	Brain
GJA1	3	not good	many tissues
CLEC4F	28	very good	many tissues
GPR180	28	very good	many tissues
IFIT5	13	not good	many tissues
SLC16A12	25	very good	Kidney:Nerve:Pancreas
UTRN	0	not good	many tissues
GRM1	28	very good	many tissues
PTPRK	3	not good	many tissues
CNTNAP4	27	very good	Brain
MARVELD2	24	good	Liver:Pancreas:Stomach:Thyroid
ADGRA3	2	not good	many tissues
MR1	6	not good	many tissues
MERTK	2	not good	many tissues
TMEM87B	5	not good	many tissues
OR14K1	28	very good	many tissues
PTPRR	26	very good	Bladder:Brain
PLA2R1	13	not good	many tissues
SCN3A	27	very good	Brain
CD96	23	good	Bladder:Blood:Lung:Small_Intestine:Spleen
ADGRF1	23	good	Bladder:Kidney:Salivary_Gland:Thyroid:Vagina
ADGRF4	26	very good	Skin:Vagina
CD8A	23	good	Blood:Lung:Small_Intestine:Spleen:Stomach
PTPRD	20	not good	many tissues
TMPRSS11D	27	very good	Vagina
KCNJ16	24	good	Kidney:Pancreas:Stomach:Thyroid
HS2ST1	6	not good	many tissues
CACNA2D1	15	not good	many tissues
SLC5A10	27	very good	Kidney
THY1	3	not good	many tissues
JPH3	26	very good	Brain:Pituitary
ANKH	0	not good	many tissues
ROBO4	2	not good	many tissues
ROBO3	2	not good	many tissues
PANX3	28	very good	many tissues
CDH12	28	very good	many tissues
GPR15	27	very good	Small_Intestine
ANGPT1	23	good	Adipose_Tissue:Blood_Vessel:Lung:Nerve:Pituitary
PRKCA	12	not good	many tissues
ABCA9	8	not good	many tissues
ABCA6	6	not good	many tissues
ABCA10	6	not good	many tissues
ABCA5	1	not good	many tissues
ENPP3	26	very good	Adrenal_Gland:Salivary_Gland
GPR26	28	very good	many tissues
CNTNAP3B	12	not good	many tissues
LY96	4	not good	many tissues
CXADR	19	not good	many tissues
CHODL	28	very good	many tissues
TMPRSS15	28	very good	many tissues
NCAM2	25	very good	Adrenal_Gland:Brain:Nerve
JAM2	5	not good	many tissues
APCDD1	6	not good	many tissues
PIEZO2	26	very good	Lung:Nerve
EPHB1	25	very good	Blood:Brain:Skin
CNTNAP5	28	very good	many tissues
PROM2	16	not good	many tissues
PTPRN2	20	not good	many tissues
OR4K1	28	very good	many tissues
PI4K2A	1	not good	many tissues
ZFYVE27	0	not good	many tissues
GPR78	27	very good	Ovary
RHOC	0	not good	many tissues
SLC16A1	7	not good	many tissues
SLC7A7	8	not good	many tissues
GRIA1	26	very good	Brain:Lung
PIK3AP1	22	good	Blood:Liver:Lung:Pancreas:Salivary_Gland:Spleen
VSIG4	4	not good	many tissues
FAM126B	21	good	Adipose_Tissue:Blood:Brain:Lung:Nerve:Skin:Spleen
FZD7	7	not good	many tissues
SLC26A2	23	good	Adrenal_Gland:Lung:Salivary_Gland:Skin:Small_Intestine
SLC24A2	27	very good	Brain
ADCY8	27	very good	Brain
RAET1L	27	very good	Vagina
GNAQ	0	not good	many tissues
GPR61	27	very good	Pituitary
MMP16	28	very good	many tissues
KCNMA1	5	not good	many tissues
DPY19L4	1	not good	many tissues
ART3	24	good	Brain:Heart:Muscle:Nerve
SLC28A1	25	very good	Kidney:Liver:Small_Intestine
CLDN17	28	very good	many tissues
CLDN8	22	good	Breast:Kidney:Salivary_Gland:Skin:Thyroid:Vagina
TSPAN7	1	not good	many tissues
TIAM1	19	not good	many tissues
SORCS3	28	very good	many tissues
PCDH1	5	not good	many tissues
KCNS2	28	very good	many tissues
EEF1A1	0	not good	many tissues
CD109	20	not good	many tissues
LRFN2	28	very good	many tissues
ZDHHC5	0	not good	many tissues
NPTN	0	not good	many tissues
UNC5D	28	very good	many tissues
MS4A1	25	very good	Blood:Small_Intestine:Spleen
HIAT1	0	not good	many tissues
ITGAD	27	very good	Spleen
ADGRG4	28	very good	many tissues
LHFPL4	26	very good	Brain:Pituitary
ATP2B2	26	very good	Brain:Liver
SLC6A1	25	very good	Brain:Liver:Nerve
TMEM171	23	good	Kidney:Small_Intestine:Spleen:Stomach:Thyroid
NRG1	27	very good	Thyroid
C1orf27	1	not good	many tissues
LRP8	26	very good	Brain:Thyroid
STEAP2	7	not good	many tissues
HTR5A	28	very good	many tissues
CLDN12	1	not good	many tissues
MMP14	2	not good	many tissues
FZD1	11	not good	many tissues
SUSD3	17	not good	many tissues
CACNA1D	24	good	Adrenal_Gland:Fallopian_Tube:Lung:Pituitary
KIT	13	not good	many tissues
KCNJ6	28	very good	many tissues
KCNJ15	19	not good	many tissues
TSPAN18	7	not good	many tissues
SVOPL	28	very good	many tissues
SLC34A2	23	good	Fallopian_Tube:Kidney:Lung:Salivary_Gland:Thyroid
SPPL3	0	not good	many tissues
TNFRSF14	0	not good	many tissues
MEGF11	27	very good	Brain
SLC30A2	25	very good	Kidney:Pancreas:Thyroid
XKR8	10	not good	many tissues
CNNM4	12	not good	many tissues
ESYT3	24	good	Lung:Skin:Thyroid:Uterus
CLSTN2	24	good	Adipose_Tissue:Breast:Ovary:Uterus
COLEC12	12	not good	many tissues
GPR153	12	not good	many tissues
SLC13A3	23	good	Brain:Kidney:Liver:Nerve:Pancreas
RHBDL2	24	good	Bladder:Salivary_Gland:Skin:Vagina
KCNB1	24	good	Bladder:Brain:Fallopian_Tube:Uterus
TSPAN33	8	not good	many tissues
NRG2	23	good	Adrenal_Gland:Bladder:Muscle:Ovary:Salivary_Gland
B4GALT5	0	not good	many tissues
CD1D	24	good	Blood:Liver:Small_Intestine:Spleen
CD1A	27	very good	Skin
CD1C	27	very good	Spleen
CD1B	28	very good	many tissues
CD1E	28	very good	many tissues
GDPD5	0	not good	many tissues
TMED4	0	not good	many tissues
PKD1L1	28	very good	many tissues
SLAMF8	25	very good	Lung:Small_Intestine:Spleen
OR10J6P	27	very good	Liver
HTR6	28	very good	many tissues
F11R	1	not good	many tissues
PLA2G2F	26	very good	Bladder:Skin
EDA	26	very good	Adrenal_Gland:Heart
SLC5A11	26	very good	Brain:Small_Intestine
FCER1G	0	not good	many tissues
MPZ	12	not good	many tissues
CACHD1	12	not good	many tissues
CDC42SE2	0	not good	many tissues
EPB41	1	not good	many tissues
IFNAR2	0	not good	many tissues
IFNGR2	0	not good	many tissues
SV2A	22	good	Adrenal_Gland:Blood_Vessel:Brain:Cervix_Uteri:Pituitary:Uterus
KCNE2	27	very good	Stomach
GJD2	28	very good	many tissues
CLDN14	26	very good	Kidney:Liver
SCUBE1	24	good	Esophagus:Lung:Nerve:Ovary
ADIPOR1	0	not good	many tissues
ATP13A2	0	not good	many tissues
ADGRG5	26	very good	Blood:Spleen
ACE	13	not good	many tissues
EFCAB14	0	not good	many tissues
LYPD5	26	very good	Brain:Skin
NPR2	1	not good	many tissues
TNFRSF13C	26	very good	Blood:Spleen
OR3A3	28	very good	many tissues
PTGIR	16	not good	many tissues
FNDC5	17	not good	many tissues
CPAMD8	12	not good	many tissues
ABCG1	5	not good	many tissues
ICOSLG	26	very good	Spleen:NormalTCGA_Rectum
ITGB2	2	not good	many tissues
SLC2A6	23	good	Bladder:Blood:Brain:Lung:Spleen
MPZL3	19	not good	many tissues
AMICA1	15	not good	many tissues
CD3G	26	very good	Blood:Spleen
CXCR5	25	very good	Blood:Small_Intestine:Spleen
IL6R	3	not good	many tissues
CHRNB2	27	very good	Brain
FAM189B	0	not good	many tissues
CCR5	28	very good	many tissues
PTH1R	2	not good	many tissues
FCRL3	26	very good	Blood:Spleen
FGFR4	17	not good	many tissues
LY6K	26	very good	Skin:Vagina
LY6E	0	not good	many tissues
VPS28	0	not good	many tissues
PTGER1	26	very good	Kidney:Spleen
PPP1R16A	0	not good	many tissues
SH2B2	23	good	Blood:Kidney:Lung:Muscle:Spleen
MFSD12	0	not good	many tissues
AP2M1	0	not good	many tissues
NPHS1	26	very good	Kidney:Pancreas
PLXDC1	4	not good	many tissues
GRIN2C	26	very good	Brain:Thyroid
ITGA5	1	not good	many tissues
SIGLEC11	24	good	Adrenal_Gland:Ovary:Spleen:Stomach
SIGLEC16	26	very good	Ovary:Spleen
CD300LG	21	good	Adipose_Tissue:Breast:Heart:Lung:Muscle:Nerve:Skin
SHANK1	26	very good	Brain:Pituitary
FAM171A2	26	very good	Brain:Pituitary
PLCD3	3	not good	many tissues
AQP5	25	very good	Salivary_Gland:Skin:Stomach
OR7G1	28	very good	many tissues
TREML1	26	very good	Blood:Spleen
CXCL16	1	not good	many tissues
SCIMP	25	very good	Blood:Lung:Spleen
ASGR2	25	very good	Blood:Liver:Spleen
MSLNL	28	very good	many tissues
SSTR5	27	very good	Pituitary
ADCY9	3	not good	many tissues
LRP5	2	not good	many tissues
SLC1A7	26	very good	Nerve:Ovary
PPAP2B	1	not good	many tissues
SLC45A1	18	not good	many tissues
PDPN	7	not good	many tissues
LRRC38	26	very good	Adrenal_Gland:Muscle
SDC3	2	not good	many tissues
ALPL	11	not good	many tissues
SCNN1D	8	not good	many tissues
MXRA8	1	not good	many tissues
IL23R	28	very good	many tissues
TM2D1	0	not good	many tissues
DNAJB4	1	not good	many tissues
ADGRL4	5	not good	many tissues
LRRC53	28	very good	many tissues
NTNG1	27	very good	Kidney
KCNT2	26	very good	Blood_Vessel:Ovary
VCAM1	13	not good	many tissues
CADM3	13	not good	many tissues
SLAMF9	28	very good	many tissues
OR2M5	28	very good	many tissues
IGSF8	0	not good	many tissues
DDR2	8	not good	many tissues
NCSTN	0	not good	many tissues
SLAMF6	25	very good	Blood:Small_Intestine:Spleen
FCGR3B	25	very good	Blood:Lung:Spleen
LRRC52	28	very good	many tissues
FLVCR1	26	very good	Pituitary:Small_Intestine
CNST	0	not good	many tissues
OXER1	22	good	Blood:Kidney:Liver:Ovary:Pancreas:Prostate:Small_Intestine
FCMR	19	not good	many tissues
PIGR	19	not good	many tissues
FCAMR	27	very good	Kidney
KCNJ3	26	very good	Brain:Pituitary
SGCB	3	not good	many tissues
PDLIM5	0	not good	many tissues
RNF149	0	not good	many tissues
S100A9	0	not good	many tissues
TGFA	23	good	Blood:Kidney:Salivary_Gland:Skin:Vagina
FZD5	20	not good	many tissues
ALPP	28	very good	many tissues
GABRG1	27	very good	Brain
ALPPL2	28	very good	many tissues
GABRB1	28	very good	many tissues
NIPAL1	27	very good	Skin
ALPI	27	very good	Small_Intestine
ANTXR2	1	not good	many tissues
GPR155	20	not good	many tissues
CLDN1	17	not good	many tissues
DCST2	24	good	Breast:Nerve:Prostate:Skin:Vagina
CCKAR	27	very good	Stomach
ATP1A1	0	not good	many tissues
SLC15A2	23	good	Brain:Kidney:Lung:Prostate:Salivary_Gland:Spleen
CXCR1	25	very good	Blood:Lung:Spleen
ADORA1	24	good	Brain:Heart:Kidney:Pancreas
KIAA1524	28	very good	many tissues
TGFBR2	0	not good	many tissues
FCRL4	28	very good	many tissues
TRAT1	28	very good	many tissues
NFASC	5	not good	many tissues
FCRL1	25	very good	Blood:Small_Intestine:Spleen
SLC2A2	26	very good	Liver:Small_Intestine
CTLA4	28	very good	many tissues
ICOS	28	very good	many tissues
CD200R1	28	very good	many tissues
PTPN13	10	not good	many tissues
SYNPR	27	very good	Brain
CLRN1	28	very good	many tissues
IL17RE	14	not good	many tissues
IL17RC	1	not good	many tissues
PRRT3	26	very good	Brain:Pituitary
RYK	0	not good	many tissues
PLB1	23	good	Adrenal_Gland:Blood:Blood_Vessel:Prostate:Small_Intestine:Spleen
CDCP1	21	good	Pancreas:Prostate:Salivary_Gland:Skin:Small_Intestine:Stomach:Thyroid:Vagina
SLC6A20	26	very good	Nerve:Small_Intestine
CCR1	24	good	Adipose_Tissue:Blood:Lung:Spleen
TPRA1	0	not good	many tissues
GRIK3	27	very good	Nerve
LIPH	23	good	Bladder:Lung:Salivary_Gland:Skin:Stomach
RHO	28	very good	many tissues
LRPAP1	0	not good	many tissues
SLC51A	8	not good	many tissues
MFI2	17	not good	many tissues
OTOP1	28	very good	many tissues
CLDN19	26	very good	Kidney:Nerve
ERMAP	4	not good	many tissues
SGMS2	15	not good	many tissues
EMCN	5	not good	many tissues
SLC9B2	9	not good	many tissues
PGRMC2	0	not good	many tissues
PLXNB1	1	not good	many tissues
MFSD8	2	not good	many tissues
MST1R	17	not good	many tissues
GRM2	28	very good	many tissues
TMEM144	17	not good	many tissues
NPY1R	16	not good	many tissues
NPY5R	28	very good	many tissues
HHIP	27	very good	Lung
TMEM184C	0	not good	many tissues
ITGA2	23	good	Adrenal_Gland:Lung:Salivary_Gland:Skin:Vagina
SLC45A2	28	very good	many tissues
LMBRD2	26	very good	Brain:Pituitary
ADGRV1	24	good	Adrenal_Gland:Brain:Pituitary:Thyroid
F2RL2	28	very good	many tissues
F2RL1	21	good	Bladder:Kidney:Pancreas:Salivary_Gland:Skin:Small_Intestine:Stomach
HTR4	28	very good	many tissues
SERINC5	9	not good	many tissues
ENPP6	26	very good	Nerve:Ovary
SLC6A18	28	very good	many tissues
ADGRF2	28	very good	many tissues
GJB7	28	very good	many tissues
GRIK2	25	very good	Brain:Nerve:Pituitary
FAM26D	28	very good	many tissues
DCBLD1	9	not good	many tissues
IL31RA	28	very good	many tissues
RAET1E	26	very good	Skin:Vagina
DAGLB	0	not good	many tissues
GALNT10	3	not good	many tissues
HCN1	28	very good	many tissues
GPR85	27	very good	Brain
KCNK5	15	not good	many tissues
SLC29A4	22	good	Adipose_Tissue:Brain:Breast:Pancreas:Stomach:Thyroid
STEAP1	12	not good	many tissues
KIAA1324L	13	not good	many tissues
SHH	24	good	Adrenal_Gland:Bladder:Liver:Nerve
SLC13A4	28	very good	many tissues
LMTK2	13	not good	many tissues
ADCY1	26	very good	Brain:Liver
SLC30A8	27	very good	Pancreas
KCNV1	28	very good	many tissues
CSMD3	28	very good	many tissues
GPR146	2	not good	many tissues
GPER1	12	not good	many tissues
TMEM184A	17	not good	many tissues
NOS3	3	not good	many tissues
CDK5	1	not good	many tissues
SLC4A2	0	not good	many tissues
FZD6	5	not good	many tissues
DCSTAMP	28	very good	many tissues
GEM	4	not good	many tissues
TMEM67	16	not good	many tissues
KIAA1161	17	not good	many tissues
SYK	14	not good	many tissues
ABCA1	7	not good	many tissues
TRPV6	23	good	Kidney:Pancreas:Prostate:Salivary_Gland:Skin:Stomach
CYBB	19	not good	many tissues
PTCHD1	28	very good	many tissues
PCDH19	28	very good	many tissues
OR1Q1	28	very good	many tissues
OR1K1	28	very good	many tissues
CLDN3	16	not good	many tissues
ATP7A	27	very good	Skin
NLGN4Y	28	very good	many tissues
AQP3	7	not good	many tissues
SLITRK5	28	very good	many tissues
FAT3	28	very good	many tissues
SLC7A3	28	very good	many tissues
GPR101	28	very good	many tissues
CLDN2	24	good	Kidney:Liver:Pancreas:Small_Intestine
LRFN5	26	very good	Bladder:Cervix_Uteri
TSHR	27	very good	Thyroid
SLC16A9	17	not good	many tissues
FOLR2	7	not good	many tissues
GJB2	24	good	Liver:Salivary_Gland:Skin:Vagina
HEPACAM	27	very good	Brain
ARF6	0	not good	many tissues
TMEM63C	26	very good	Brain:Pituitary
AMER2	27	very good	Brain
OXGR1	28	very good	many tissues
VSTM4	12	not good	many tissues
SLC18A2	27	very good	Vagina
QSOX2	2	not good	many tissues
ENOX2	5	not good	many tissues
CLEC1B	26	very good	Blood:Liver
RET	28	very good	many tissues
OR4K2	28	very good	many tissues
SLC39A2	26	very good	Skin:Vagina
BTNL9	1	not good	many tissues
PACSIN3	4	not good	many tissues
TTC7B	0	not good	many tissues
RAPSN	27	very good	Muscle
SLC6A5	28	very good	many tissues
CACNB2	13	not good	many tissues
KCNC2	27	very good	Pituitary
GPR176	20	not good	many tissues
JAM3	2	not good	many tissues
SVOP	26	very good	Brain:Pituitary
AMN	21	good	Kidney:Liver:Lung:Skin:Small_Intestine:Stomach:Vagina
IKBIP	7	not good	many tissues
SPINT1	13	not good	many tissues
AVPR1A	21	good	Adipose_Tissue:Adrenal_Gland:Breast:Fallopian_Tube:Liver:Thyroid:Uterus
LRTM2	27	very good	Brain
OPN1MW2	28	very good	many tissues
GABRB3	26	very good	Brain:Pituitary
FRS2	8	not good	many tissues
CLMP	10	not good	many tissues
SCN3B	25	very good	Brain:Muscle:Pituitary
CYYR1	6	not good	many tissues
SMPD1	0	not good	many tissues
APBB1	0	not good	many tissues
ILK	0	not good	many tissues
DCHS1	12	not good	many tissues
NETO1	27	very good	Brain
OR10A5	28	very good	many tissues
OR2D2	28	very good	many tissues
PLD4	27	very good	Spleen
PRTG	27	very good	Thyroid
PKD1L2	24	good	Adipose_Tissue:Breast:Cervix_Uteri:Heart
TMX3	0	not good	many tissues
CLEC4E	23	good	Adipose_Tissue:Blood:Lung:Spleen:Thyroid
CLEC4D	27	very good	Blood
GALR1	28	very good	many tissues
CDH16	26	very good	Kidney:Thyroid
RRAD	5	not good	many tissues
MC4R	28	very good	many tissues
TMPRSS5	25	very good	Brain:Nerve:Salivary_Gland
B2M	0	not good	many tissues
HTR3A	28	very good	many tissues
ANPEP	5	not good	many tissues
SCNN1G	23	good	Kidney:Lung:Prostate:Salivary_Gland:Skin:Vagina
GPR182	27	very good	Spleen
CACNG2	28	very good	many tissues
OR4D6	28	very good	many tissues
ELFN2	27	very good	Brain
STX3	0	not good	many tissues
MS4A15	27	very good	Lung
EVA1C	0	not good	many tissues
GNGT2	25	very good	Blood:Lung:Spleen
ISLR2	28	very good	many tissues
GPRC5B	3	not good	many tissues
NOD2	24	good	Blood:Salivary_Gland:Skin:Vagina
DPEP2	24	good	Blood:Lung:Small_Intestine:Spleen
CD3D	24	good	Blood:Lung:Small_Intestine:Spleen
STIM1	0	not good	many tissues
OR51E2	28	very good	many tissues
OR51I1	28	very good	many tissues
OR51Q1	28	very good	many tissues
PRRT2	7	not good	many tissues
LPO	27	very good	Salivary_Gland
CA4	11	not good	many tissues
RAB8A	0	not good	many tissues
TP53I13	0	not good	many tissues
AQP2	27	very good	Kidney
AXL	4	not good	many tissues
LAIR1	8	not good	many tissues
TTYH1	21	good	Brain:Colon:Fallopian_Tube:Nerve:Pancreas:Pituitary:Skin
TMEM145	26	very good	Brain:Pituitary
KIR3DL1	27	very good	Blood
SPINT2	1	not good	many tissues
PSCA	23	good	Bladder:Prostate:Salivary_Gland:Skin:Stomach:Vagina
LY6D	24	good	Adrenal_Gland:Bladder:Skin:Vagina
TMIGD2	26	very good	Blood:Spleen
PLIN4	8	not good	many tissues
SEMA6B	7	not good	many tissues
FAM57A	6	not good	many tissues
SLC43A2	4	not good	many tissues
TRPV3	26	very good	Nerve:Skin
KRT1	25	very good	Blood:Skin:Vagina
CD320	0	not good	many tissues
OR8J3	28	very good	many tissues
OR5I1	28	very good	many tissues
CD300C	25	very good	Blood:Lung:Spleen
CD300A	21	good	Adipose_Tissue:Adrenal_Gland:Blood:Liver:Lung:Small_Intestine:Spleen
MGAT5B	27	very good	Brain
ABCA3	10	not good	many tissues
BEST1	15	not good	many tissues
SLC3A2	0	not good	many tissues
RPSA	0	not good	many tissues
